id	k	g	s
7442	0.250	0.900	0.800
7441	0.250	0.800	0.800
7440	0.250	0.700	0.800
7439	0.250	0.600	0.800
7438	0.250	0.500	0.800
7437	0.250	0.400	0.800
7436	0.250	0.300	0.800
7435	0.250	0.200	0.800
7434	0.250	0.100	0.800
7433	0.250	0.000	0.800
7432	0.150	0.900	0.800
7431	0.150	0.800	0.800
7430	0.150	0.700	0.800
7429	0.150	0.600	0.800
7428	0.150	0.500	0.800
7427	0.150	0.400	0.800
7426	0.150	0.300	0.800
7425	0.150	0.200	0.800
7424	0.150	0.100	0.800
7423	0.150	0.000	0.800
7422	0.050	0.900	0.800
7421	0.050	0.800	0.800
7420	0.050	0.700	0.800
7419	0.050	0.600	0.800
7418	0.050	0.500	0.800
7417	0.050	0.400	0.800
7416	0.050	0.300	0.800
7415	0.050	0.200	0.800
7414	0.050	0.100	0.800
7753	0.250	0.700	0.600
7754	0.250	0.800	0.600
7755	0.350	0.600	0.600
7756	0.350	0.700	0.600
7757	0.450	0.500	0.600
7758	0.450	0.600	0.600
7759	0.550	0.400	0.600
7760	0.550	0.500	0.600
7761	0.650	0.400	0.600
7762	1.150	0.000	0.600
7943	0.050	0.900	0.300
7945	0.150	0.100	0.300
7946	0.150	0.200	0.300
7947	0.150	0.300	0.300
7948	0.150	0.400	0.300
7949	0.150	0.500	0.300
7950	0.150	0.600	0.300
7951	0.150	0.700	0.300
7952	0.150	0.800	0.300
7953	0.150	0.900	0.300
7954	0.250	0.000	0.300
7955	0.250	0.100	0.300
7956	0.250	0.200	0.300
7957	0.250	0.300	0.300
7958	0.250	0.400	0.300
7959	0.250	0.500	0.300
7960	0.250	0.600	0.300
7961	0.250	0.900	0.300
7962	0.350	0.000	0.300
7963	0.350	0.100	0.300
7964	0.350	0.200	0.300
7965	0.350	0.300	0.300
7966	0.350	0.400	0.300
7967	0.350	0.500	0.300
7968	0.350	0.800	0.300
7969	0.350	0.900	0.300
7970	0.450	0.000	0.300
7971	0.450	0.100	0.300
7972	0.450	0.200	0.300
7973	0.450	0.300	0.300
12731	0.350	0.250	0.700
12730	0.350	0.250	0.600
7976	0.450	0.800	0.300
7977	0.450	0.900	0.300
7978	0.550	0.000	0.300
7979	0.550	0.100	0.300
7980	0.550	0.200	0.300
7981	0.550	0.300	0.300
7982	0.550	0.600	0.300
7983	0.550	0.700	0.300
12729	0.350	0.250	0.500
7985	0.550	0.900	0.300
7986	0.650	0.000	0.300
7987	0.650	0.100	0.300
7988	0.650	0.200	0.300
7989	0.650	0.500	0.300
7990	0.650	0.600	0.300
7991	0.650	0.700	0.300
12728	0.350	0.250	0.400
7993	0.650	0.900	0.300
7994	0.750	0.000	0.300
7995	0.750	0.100	0.300
7996	0.750	0.400	0.300
7997	0.750	0.500	0.300
7998	0.750	0.600	0.300
7999	0.750	0.700	0.300
8000	0.750	0.800	0.300
8001	0.750	0.900	0.300
8002	0.950	0.200	0.300
8003	0.950	0.300	0.300
8004	0.950	0.400	0.300
8005	0.950	0.500	0.300
8006	0.950	0.600	0.300
8007	0.950	0.700	0.300
8008	0.950	0.800	0.300
8009	0.950	0.900	0.300
8010	1.050	0.200	0.300
8011	1.050	0.300	0.300
8012	1.050	0.400	0.300
8013	1.050	0.500	0.300
8014	1.050	0.600	0.300
8015	1.050	0.700	0.300
8016	1.050	0.800	0.300
8017	1.050	0.900	0.300
8018	1.250	0.000	0.300
8019	1.250	0.100	0.300
8020	1.250	0.400	0.300
8021	1.250	0.500	0.300
8022	1.250	0.600	0.300
8023	1.250	0.700	0.300
8024	1.250	0.800	0.300
8025	1.250	0.900	0.300
8026	1.350	0.000	0.300
8027	1.350	0.100	0.300
8028	1.350	0.200	0.300
8029	1.350	0.500	0.300
8030	1.350	0.600	0.300
8031	1.350	0.700	0.300
8032	1.350	0.800	0.300
8033	1.350	0.900	0.300
8034	1.450	0.000	0.300
8035	1.450	0.100	0.300
8036	1.450	0.200	0.300
8037	1.450	0.300	0.300
8038	1.450	0.700	0.300
8039	1.450	0.800	0.300
8040	1.450	0.900	0.300
8041	1.150	0.300	0.300
8042	1.150	0.400	0.300
8043	1.150	0.500	0.300
8044	1.150	0.600	0.300
8045	1.150	0.700	0.300
8046	1.150	0.800	0.300
8047	1.150	0.900	0.300
8048	0.850	0.300	0.300
8049	0.850	0.400	0.300
8050	0.850	0.500	0.300
8051	0.850	0.600	0.300
8052	0.850	0.700	0.300
8053	0.850	0.800	0.300
8054	0.850	0.900	0.300
8055	1.550	0.000	0.300
8056	1.550	0.100	0.300
8057	1.550	0.200	0.300
8058	1.550	0.300	0.300
8059	1.550	0.800	0.300
8060	1.550	0.900	0.300
8061	1.650	0.000	0.300
8062	1.650	0.100	0.300
8063	1.650	0.200	0.300
8064	1.650	0.300	0.300
8065	1.650	0.400	0.300
8066	1.650	0.900	0.300
8210	1.450	0.500	0.500
8211	1.450	0.600	0.500
8212	1.450	0.700	0.500
8213	1.450	0.800	0.500
8214	1.450	0.900	0.500
8215	1.550	0.000	0.500
8216	1.550	0.100	0.500
8217	1.550	0.200	0.500
8218	1.550	0.300	0.500
8219	1.550	0.400	0.500
8220	1.550	0.500	0.500
8221	1.550	0.600	0.500
8222	1.550	0.700	0.500
8223	1.550	0.800	0.500
8224	1.550	0.900	0.500
8225	1.650	0.000	0.500
8226	1.650	0.100	0.500
8227	1.650	0.200	0.500
8228	1.650	0.300	0.500
8229	1.650	0.400	0.500
8230	1.650	0.500	0.500
8231	1.650	0.600	0.500
8232	1.650	0.700	0.500
8233	1.650	0.800	0.500
8234	1.650	0.900	0.500
8235	0.050	0.100	0.500
8236	0.050	0.200	0.500
8237	0.050	0.300	0.500
8238	0.050	0.400	0.500
8239	0.050	0.500	0.500
8240	0.050	0.600	0.500
8241	0.050	0.700	0.500
8242	0.050	0.800	0.500
8243	0.050	0.900	0.500
8244	0.050	0.000	0.900
8245	0.050	0.100	0.900
8246	0.050	0.200	0.900
8247	0.050	0.300	0.900
8248	0.050	0.400	0.900
8249	0.050	0.500	0.900
8250	0.050	0.600	0.900
8251	0.050	0.700	0.900
8252	0.050	0.800	0.900
8253	0.050	0.900	0.900
8254	0.150	0.000	0.900
8255	0.150	0.100	0.900
8256	0.150	0.200	0.900
8257	0.150	0.300	0.900
8258	0.150	0.400	0.900
8259	0.150	0.500	0.900
8260	0.150	0.600	0.900
8261	0.150	0.700	0.900
8262	0.150	0.800	0.900
8263	0.150	0.900	0.900
8264	0.250	0.000	0.900
8265	0.250	0.100	0.900
8266	0.250	0.200	0.900
8267	0.250	0.300	0.900
8268	0.250	0.400	0.900
8269	0.250	0.500	0.900
8270	0.250	0.600	0.900
8271	0.250	0.700	0.900
8272	0.250	0.800	0.900
8273	0.250	0.900	0.900
8274	0.350	0.000	0.900
8275	0.350	0.100	0.900
8276	0.350	0.200	0.900
8277	0.350	0.300	0.900
8278	0.350	0.400	0.900
8279	0.350	0.500	0.900
8280	0.350	0.600	0.900
8281	0.350	0.700	0.900
8282	0.350	0.800	0.900
8283	0.350	0.900	0.900
8284	0.450	0.000	0.900
8285	0.450	0.100	0.900
8286	0.450	0.200	0.900
8287	0.450	0.300	0.900
8288	0.450	0.400	0.900
8289	0.450	0.500	0.900
8290	0.450	0.600	0.900
8291	0.450	0.700	0.900
8292	0.450	0.800	0.900
8293	0.450	0.900	0.900
8294	0.550	0.000	0.900
8295	0.550	0.100	0.900
8296	0.550	0.200	0.900
8297	0.550	0.300	0.900
8298	0.550	0.400	0.900
8299	0.550	0.500	0.900
8300	0.550	0.600	0.900
8301	0.550	0.700	0.900
8302	0.550	0.800	0.900
8303	0.550	0.900	0.900
8304	0.650	0.000	0.900
8305	0.650	0.100	0.900
8306	0.650	0.200	0.900
8307	0.650	0.300	0.900
8308	0.650	0.400	0.900
8309	0.650	0.500	0.900
8310	0.650	0.600	0.900
8311	0.650	0.700	0.900
8312	0.650	0.800	0.900
8313	0.650	0.900	0.900
8314	0.750	0.000	0.900
8315	0.750	0.100	0.900
