,ID,k,g,s,macro_m
288,7171.0,0.95,0.8,0.6,-1.568627450980392
289,7172.0,0.95,0.9,0.6,-1.238390092879257
290,7173.0,1.05,0.0,0.6,399.9999999999993
291,7174.0,1.05,0.1,0.6,-133.33333333333337
292,7175.0,1.05,0.2,0.6,-26.666666666666664
293,7176.0,1.05,0.3,0.6,-11.428571428571429
294,7177.0,1.05,0.4,0.6,-6.349206349206348
295,7178.0,1.05,0.5,0.6,-4.040404040404041
296,7179.0,1.05,0.6,0.6,-2.7972027972027975
297,7180.0,1.05,0.7,0.6,-2.0512820512820515
298,7181.0,1.05,0.8,0.6,-1.568627450980392
299,7182.0,1.05,0.9,0.6,-1.238390092879257
300,8067.0,0.15,0.0,0.3,1.384083044982699
301,7184.0,1.15,0.1,0.6,80.00000000000017
302,7185.0,1.15,0.2,0.6,-57.14285714285703
303,7186.0,1.15,0.3,0.6,-14.814814814814811
304,7187.0,1.15,0.4,0.6,-7.272727272727269
305,7188.0,1.15,0.5,0.6,-4.395604395604395
306,7189.0,1.15,0.6,0.6,-2.962962962962963
307,7190.0,1.15,0.7,0.6,-2.1390374331550803
308,7191.0,1.15,0.8,0.6,-1.6194331983805663
309,7192.0,1.15,0.9,0.6,-1.2698412698412698
310,7193.0,1.25,0.0,0.6,16.0
311,7194.0,1.25,0.1,0.6,19.047619047619047
312,7195.0,1.25,0.2,0.6,44.44444444444446
313,7196.0,1.25,0.3,0.6,-36.36363636363637
314,7197.0,1.25,0.4,0.6,-10.256410256410254
315,7198.0,1.25,0.5,0.6,-5.333333333333333
316,7199.0,1.25,0.6,0.6,-3.361344537815126
317,7200.0,1.25,0.7,0.6,-2.339181286549708
318,7201.0,1.25,0.8,0.6,-1.7316017316017311
319,7202.0,1.25,0.9,0.6,-1.3377926421404682
320,7203.0,1.35,0.0,0.6,8.163265306122444
321,7204.0,1.35,0.1,0.6,8.888888888888884
322,7205.0,1.35,0.2,0.6,12.121212121212112
323,7206.0,1.35,0.3,0.6,30.769230769230703
324,7207.0,1.35,0.4,0.6,-26.666666666666693
325,7208.0,1.35,0.5,0.6,-7.843137254901964
326,7209.0,1.35,0.6,0.6,-4.210526315789475
327,7210.0,1.35,0.7,0.6,-2.7210884353741505
328,7211.0,1.35,0.8,0.6,-1.9323671497584538
329,7212.0,1.35,0.9,0.6,-1.4545454545454546
330,7213.0,1.45,0.0,0.6,4.938271604938272
331,7214.0,1.45,0.1,0.6,5.1948051948051965
332,7215.0,1.45,0.2,0.6,6.153846153846156
333,7216.0,1.45,0.3,0.6,8.888888888888893
334,7217.0,1.45,0.4,0.6,23.529411764705923
335,7218.0,1.45,0.5,0.6,-21.05263157894735
336,7219.0,1.45,0.6,0.6,-6.349206349206348
337,7220.0,1.45,0.7,0.6,-3.4782608695652177
338,7221.0,1.45,0.8,0.6,-2.2857142857142847
339,7222.0,1.45,0.9,0.6,-1.6460905349794235
340,7223.0,1.55,0.0,0.6,3.305785123966942
341,7224.0,1.55,0.1,0.6,3.418803418803418
342,7225.0,1.55,0.2,0.6,3.8095238095238084
343,7226.0,1.55,0.3,0.6,4.705882352941176
344,7227.0,1.55,0.4,0.6,7.017543859649122
345,7228.0,1.55,0.5,0.6,19.04761904761903
346,7229.0,1.55,0.6,0.6,-17.391304347826104
347,7230.0,1.55,0.7,0.6,-5.333333333333337
348,7231.0,1.55,0.8,0.6,-2.9629629629629624
349,7232.0,1.55,0.9,0.6,-1.9704433497536944
350,7233.0,1.65,0.0,0.6,2.3668639053254443
351,7234.0,1.65,0.1,0.6,2.424242424242425
352,7235.0,1.65,0.2,0.6,2.614379084967321
353,7236.0,1.65,0.3,0.6,3.007518796992482
354,7237.0,1.65,0.4,0.6,3.809523809523812
355,7238.0,1.65,0.5,0.6,5.797101449275367
356,7239.0,1.65,0.6,0.6,16.00000000000003
357,7240.0,1.65,0.7,0.6,-14.814814814814802
358,7241.0,1.65,0.8,0.6,-4.597701149425282
359,7242.0,1.65,0.9,0.6,-2.580645161290321
360,7413.0,0.05,0.0,0.8,1.10803324099723
361,7582.0,1.65,0.9,0.8,-2.580645161290321
362,7581.0,1.65,0.8,0.8,-4.597701149425282
363,7580.0,1.65,0.7,0.8,-14.814814814814802
364,7579.0,1.65,0.6,0.8,16.00000000000003
365,7578.0,1.65,0.5,0.8,5.797101449275367
366,7577.0,1.65,0.4,0.8,3.809523809523812
367,7576.0,1.65,0.3,0.8,3.007518796992482
368,7575.0,1.65,0.2,0.8,2.614379084967321
369,7574.0,1.65,0.1,0.8,2.424242424242425
370,7573.0,1.65,0.0,0.8,2.3668639053254443
371,7572.0,1.55,0.9,0.8,-1.9704433497536944
372,7571.0,1.55,0.8,0.8,-2.9629629629629624
373,7570.0,1.55,0.7,0.8,-5.333333333333337
374,7569.0,1.55,0.6,0.8,-17.391304347826104
375,7568.0,1.55,0.5,0.8,19.04761904761903
376,7567.0,1.55,0.4,0.8,7.017543859649122
377,7566.0,1.55,0.3,0.8,4.705882352941176
378,7565.0,1.55,0.2,0.8,3.8095238095238084
379,7564.0,1.55,0.1,0.8,3.418803418803418
380,7563.0,1.55,0.0,0.8,3.305785123966942
381,7562.0,1.45,0.9,0.8,-1.6460905349794235
382,7561.0,1.45,0.8,0.8,-2.2857142857142847
383,7560.0,1.45,0.7,0.8,-3.4782608695652177
384,7559.0,1.45,0.6,0.8,-6.349206349206348
385,7558.0,1.45,0.5,0.8,-21.05263157894735
386,7557.0,1.45,0.4,0.8,23.529411764705923
387,7556.0,1.45,0.3,0.8,8.888888888888893
388,7555.0,1.45,0.2,0.8,6.153846153846156
389,7554.0,1.45,0.1,0.8,5.1948051948051965
390,7553.0,1.45,0.0,0.8,4.938271604938272
391,7552.0,1.35,0.9,0.8,-1.4545454545454546
392,7551.0,1.35,0.8,0.8,-1.9323671497584538
393,7550.0,1.35,0.7,0.8,-2.7210884353741505
394,7549.0,1.35,0.6,0.8,-4.210526315789475
395,7548.0,1.35,0.5,0.8,-7.843137254901964
396,7547.0,1.35,0.4,0.8,-26.666666666666693
397,7546.0,1.35,0.3,0.8,30.769230769230703
398,7545.0,1.35,0.2,0.8,12.121212121212112
399,7544.0,1.35,0.1,0.8,8.888888888888884
400,7543.0,1.35,0.0,0.8,8.163265306122444
401,7542.0,1.25,0.9,0.8,-1.3377926421404682
402,7541.0,1.25,0.8,0.8,-1.7316017316017311
403,7540.0,1.25,0.7,0.8,-2.339181286549708
404,7539.0,1.25,0.6,0.8,-3.361344537815126
405,7538.0,1.25,0.5,0.8,-5.333333333333333
406,7537.0,1.25,0.4,0.8,-10.256410256410254
407,7536.0,1.25,0.3,0.8,-36.36363636363637
408,7535.0,1.25,0.2,0.8,44.44444444444446
409,7534.0,1.25,0.1,0.8,19.047619047619047
410,7533.0,1.25,0.0,0.8,16.0
411,7532.0,1.15,0.9,0.8,-1.2698412698412698
412,7531.0,1.15,0.8,0.8,-1.6194331983805663
413,7530.0,1.15,0.7,0.8,-2.1390374331550803
414,7529.0,1.15,0.6,0.8,-2.962962962962963
415,7528.0,1.15,0.5,0.8,-4.395604395604395
416,7527.0,1.15,0.4,0.8,-7.272727272727269
417,7526.0,1.15,0.3,0.8,-14.814814814814811
418,7525.0,1.15,0.2,0.8,-57.14285714285703
419,7524.0,1.15,0.1,0.8,80.00000000000017
420,7523.0,1.15,0.0,0.8,44.44444444444449
421,7522.0,1.05,0.9,0.8,-1.238390092879257
422,7521.0,1.05,0.8,0.8,-1.568627450980392
423,7520.0,1.05,0.7,0.8,-2.0512820512820515
424,7519.0,1.05,0.6,0.8,-2.7972027972027975
425,7518.0,1.05,0.5,0.8,-4.040404040404041
426,7517.0,1.05,0.4,0.8,-6.349206349206348
427,7516.0,1.05,0.3,0.8,-11.428571428571429
428,7515.0,1.05,0.2,0.8,-26.666666666666664
429,7514.0,1.05,0.1,0.8,-133.33333333333337
430,7513.0,1.05,0.0,0.8,399.9999999999993
431,7512.0,0.95,0.9,0.8,-1.238390092879257
432,7511.0,0.95,0.8,0.8,-1.568627450980392
433,7510.0,0.95,0.7,0.8,-2.0512820512820515
434,7509.0,0.95,0.6,0.8,-2.7972027972027975
435,7508.0,0.95,0.5,0.8,-4.040404040404041
436,7507.0,0.95,0.4,0.8,-6.349206349206348
437,7506.0,0.95,0.3,0.8,-11.428571428571429
438,7505.0,0.95,0.2,0.8,-26.666666666666664
439,7504.0,0.95,0.1,0.8,-133.33333333333337
440,7503.0,0.95,0.0,0.8,399.9999999999993
441,7502.0,0.85,0.9,0.8,-1.2698412698412698
442,7501.0,0.85,0.8,0.8,-1.6194331983805663
443,7500.0,0.85,0.7,0.8,-2.1390374331550808
444,7499.0,0.85,0.6,0.8,-2.9629629629629632
445,7498.0,0.85,0.5,0.8,-4.395604395604396
446,7497.0,0.85,0.4,0.8,-7.2727272727272725
447,7496.0,0.85,0.3,0.8,-14.814814814814817
448,7495.0,0.85,0.2,0.8,-57.14285714285714
449,7494.0,0.85,0.1,0.8,79.99999999999997
450,7493.0,0.85,0.0,0.8,44.444444444444436
451,7492.0,0.75,0.9,0.8,-1.3377926421404682
452,7491.0,0.75,0.8,0.8,-1.7316017316017311
453,7490.0,0.75,0.7,0.8,-2.339181286549708
454,7489.0,0.75,0.6,0.8,-3.361344537815126
