,ID,k,g,s,macro_m,min,max,mag_avg,ray_avg,min_mag,max_mag,const
2157,45191.0,1.15,1.25,0.1,-0.6493506493506493,40,137904,-0.603172,426.529,0.0565656262528456,195.01565306931067,0.0014141406563211
2158,45192.0,1.15,1.25,0.2,-0.6493506493506493,41,147115,-0.606221,428.685,0.0579797776922448,208.04134134620992,0.001414140919323
2159,45193.0,1.15,1.25,0.3,-0.6493506493506493,67,136808,-0.67762,479.175,0.0947473052642562,193.46551251630405,0.0014141388845411
2160,45194.0,1.15,1.25,0.4,-0.6493506493506493,71,153815,-0.753945,533.147,0.1004040067748669,217.51608876163607,0.001414140940491
2161,45195.0,1.15,1.25,0.5,-0.6493506493506493,43,162668,-0.599112,423.658,0.0608080480009819,230.03543144706344,0.0014141406511856
2162,45196.0,1.15,1.25,0.6,-0.6493506493506493,75,139695,-0.601319,425.219,0.106060465313168,197.5482226923068,0.0014141395375089
2163,45197.0,1.15,1.25,0.7,-0.6493506493506493,85,265654,-0.629457,445.117,0.1202017559428195,375.6714973321621,0.0014141383052096
2164,45198.0,1.15,1.25,0.8,-0.6493506493506493,92,453284,-0.615788,435.45,0.1301010357101849,641.0078029440809,0.001414141692502
2165,45199.0,1.15,1.25,0.9,-0.6493506493506493,128,466987,-0.630004,445.503,0.1810100313578135,660.3854024507131,0.0014141408699829
2166,45200.0,1.15,1.35,0.0,-0.5555555555555555,48,111836,-0.561017,463.698,0.0580740395688573,135.30767269214013,0.0012098758243511
2167,45201.0,1.15,1.35,0.1,-0.5555555555555555,26,82755,-0.455301,376.321,0.0314567244453538,100.12312428750988,0.0012098740171289
2168,45202.0,1.15,1.35,0.2,-0.5555555555555555,46,141583,-0.531545,439.338,0.0556543481328726,171.2980341673154,0.0012098771333233
2169,45203.0,1.15,1.35,0.3,-0.5555555555555555,33,151597,-0.522944,432.229,0.039925946662533,183.41374958181888,0.0012098771715919
