,ID,min,max,mag_avg,ray_avg,min_mag,max_mag,const,k,g,s,macro_m
4002,7486,12,26328,-36.6678,463.025,0.9503020355272394,2084.962665946763,0.0791918362939366,0.75,0.3,0.8,-36.36363636363637
4003,9756,76,154591,-0.385682,475.954,0.0615854305247986,125.27043802972555,0.0008103346121684,1.45,1.7,0.3,-0.372093023255814
4004,18133,181,59767,2.45043,492.274,0.900977565339628,297.50677429642843,0.0049777766040863,0.2,0.45,0.3,2.285714285714285
4005,45701,43,217926,-0.381761,449.202,0.0365441894737779,185.2076519828496,0.0008498648714832,1.4,1.65,0.1,-0.3902439024390244
4006,50126,0,25040,11.2943,466.756,0.0,605.9038812570166,0.0241974393473249,1.3,0.0,0.99,11.111111111111107
4007,42510,34,59045,-1.62461,456.921,0.1208890377111141,209.9380362250805,0.0035555599326798,0.3,1.05,0.9,-1.6326530612244896
4008,44218,36,109308,-0.638337,448.464,0.0512418655678047,155.58738448571123,0.0014233851546612,0.6,1.3,0.1,-0.65359477124183
4009,49009,59,127057,-7.97599,448.65,1.048887573832609,2258.788279126268,0.0177777554886882,1.0,0.35,0.9,-8.163265306122451
4010,10310,55,74686,-0.779801,453.856,0.0944992574737361,128.3231189760629,0.0017181683177042,0.35,1.3,0.8,-0.7889546351084812
4011,42341,130,35641,2.91586,451.885,0.8388457240227049,229.97923422994788,0.0064526594155592,0.2,0.55,0.0,2.9629629629629624
4012,41928,22,123838,-1.57526,434.001,0.079851705410817,449.4852497574891,0.0036296229732189,0.45,0.95,0.7,-1.666666666666667
4013,43968,49,100847,-0.710902,496.181,0.0702046188789977,144.48826938959778,0.0014327473240611,0.45,1.35,0.1,-0.6578947368421052
4014,45854,54,133315,-0.439058,403.217,0.058799931550505,145.16505323436263,0.0010888876213056,1.5,1.5,0.4,-0.5
4015,42975,340,109735,2.37287,460.35,1.7525269903334415,565.6280861301183,0.0051544911480395,0.35,0.0,0.99,2.3668639053254434
4016,45837,96,575688,-0.584684,459.096,0.1222612786868105,733.1703229651314,0.0012735549863209,1.5,1.4,0.7,-0.584795321637427
4017,43684,38,68824,-0.812616,447.768,0.0689629629629629,124.90281481481482,0.0018148148148148,0.3,1.3,0.7,-0.8333333333333333
4018,45633,59,215040,-0.608159,427.263,0.0839796120890411,306.08433531571893,0.0014233832557464,1.4,1.3,0.3,-0.65359477124183
4019,47151,42,111524,-0.834391,398.465,0.0879485575897506,233.53273658665128,0.0020940132759464,1.25,1.05,0.1,-0.9615384615384616
4020,43035,52,37460,-4.23624,461.989,0.4768175865659139,343.4920537069064,0.0091695689724214,0.65,0.6,0.99,-4.2105263157894735
4021,49195,47,9738,24.533,450.607,2.558883905487487,530.1789674816415,0.0544443384146273,0.75,0.15,0.5,25.0
4022,32918,73,23159,6.07229,439.157,1.0093819977821143,320.22298200871217,0.0138271506545495,0.4,0.45,0.0,6.349206349206351
4023,29931,2,74259,-16.4075,470.878,0.0696889640204044,2587.5163895956066,0.0348444820102022,0.4,0.65,0.9,-15.999999999999986
4024,48327,17,412103,5.40424,465.289,0.1974516483303925,4786.495095994103,0.0116148028429642,1.5,0.25,0.7,5.333333333333333
4025,10530,138,211397,-0.512153,446.24,0.1583836366081032,242.6219248408928,0.0011477075116529,1.25,1.4,0.9,-0.5270092226613966
4026,44425,72,200158,-0.52717,452.667,0.0838502475329547,233.1013589680715,0.001164586771291,0.7,1.4,0.8,-0.5347593582887702
